query_tag,tweet_volume,avg_tfidf_norm,composite_sentiment,confidence_low,confidence_high,confidence_level,total_engagement
#nifty50,470,24.655551197636317,-0.03150211294660007,-0.13717788500384237,0.07217422410398411,0.95,2133
#intraday,434,28.850256377822,0.18696037323569362,0.12757262149532578,0.24815546821539264,0.95,1985
#sensex,384,25.269674472229763,0.21243370654095461,-0.07680125355851686,0.49657660256266223,0.95,1313
#banknifty,288,25.489104622266073,-0.0940563725490196,-0.2161328251328251,0.012616506400950184,0.95,1344
